Rank,Dataset,Gene,Type,Outgoing_Strength,Outgoing_Strength_Std,Top5_Outgoing_Targets
26,Schiebinger,Thbs1,Gene,16.534,5.502,Ncam1 (+1.11); Tnfrsf12a (+0.90); Prss23 (+0.80); Col1a2 (+0.76); Lox (+0.65)
27,Schiebinger,Fam162a,Gene,15.892,3.261,Dmrtc2 (+1.34); Gstp1 (+0.95); Col1a2 (-0.80); Nupr1 (-0.73); Nme2 (+0.66)
28,Schiebinger,AY036118,Gene,15.771,2.238,Marcksl1 (+0.76); Vps8 (+0.55); Scand1 (+0.52); Vbp1 (+0.49); Tomm40 (+0.48)
29,Schiebinger,Nupr1,Gene,15.728,3.132,Snhg9 (-0.73); Ddit3 (+0.65); Gstp1 (+0.63); Fam162a (+0.63); Dppa5a (+0.56)
30,Schiebinger,Sri,Gene,15.021,4.617,Dppa5a (-1.24); Fos (+0.54); Gabarap (+0.49); Tcl1 (-0.42); Esrrb (-0.42)
31,Schiebinger,Dmrtc2,Gene,14.262,3.646,Nmt1 (+0.92); Msx2 (-0.85); Id3 (-0.62); Hes1 (+0.62); Fabp3 (-0.59)
32,Schiebinger,Id3,Gene,14.006,2.887,Shisa8 (-0.57); AY036118 (+0.56); Dmrtc2 (+0.56); Cdkn2a (+0.52); Gabarap (+0.51)
33,Schiebinger,Zfp42,Gene,13.996,5.332,Tcl1 (+1.69); Obox6 (+1.49); Klf2 (+1.21); Spic (+0.99); Fmr1nb (+0.95)
34,Schiebinger,Tomm40,Gene,13.941,2.657,Prss23 (-0.55); S100a1 (-0.53); Id3 (-0.50); Bgn (-0.45); Nme2 (-0.43)
35,Schiebinger,Hist1h2ap,Gene,13.893,2.706,Tmem35 (+1.21); Ggh (+1.03); AY036118 (+0.98); Gm26917 (+0.89); Nmt1 (-0.83)
36,Schiebinger,Ncam1,Gene,13.886,3.829,Tnfrsf12a (-0.72); Col1a2 (-0.72); Sdc4 (-0.71); Thbs1 (-0.67); Lox (-0.66)
37,Schiebinger,Col1a2,Gene,13.678,2.179,Epcam (-1.66); Dmrtc2 (-0.94); Elf3 (-0.72); Cldn7 (-0.67); Lox (+0.51)
38,Schiebinger,Bgn,Gene,13.238,1.616,Vcam1 (+0.86); Dmrtc2 (-0.59); Scand1 (+0.58); Cdkn2a (-0.54); Hist1h2ap (+0.54)
39,Schiebinger,Egr1,Gene,12.88,3.556,Mgp (-0.54); Epcam (+0.51); Gabarap (-0.47); Cdkn2a (-0.46); Sdc4 (-0.45)
40,Schiebinger,Ctsl,Gene,12.606,3.601,Scand1 (+0.60); Csrp2 (+0.47); Tmem35 (+0.42); Vapa (+0.37); Marcksl1 (+0.36)
41,Schiebinger,Epcam,Gene,12.235,3.3,Cldn7 (+1.63); Nmt1 (+0.73); Dppa5a (-0.66); Chchd10 (-0.42); Elf3 (+0.40)
42,Schiebinger,Rala,Gene,12.13,1.09,Col1a2 (-0.65); Cldn7 (+0.36); Prkcdbp (-0.36); Prss23 (-0.35); Gm26917 (-0.32)
43,Schiebinger,Prss23,Gene,11.774,3.387,Marcksl1 (+0.69); Prkcdbp (+0.51); Lox (+0.43); Ncam1 (+0.39); Dynll2 (+0.37)
44,Schiebinger,Myc,Gene,11.705,2.792,Mybl2 (+0.54); Vbp1 (+0.48); Hmgn5 (+0.47); Ube2s (+0.46); Snhg9 (+0.44)
45,Schiebinger,Pou3f1,Gene,11.667,3.753,Ascl2 (-2.23); Gata3 (+0.98); Pdgfb (+0.65); Wnt7b (+0.63); Msx2 (+0.59)
46,Schiebinger,Gadd45b,Gene,11.628,2.385,Hist1h2ap (-0.83); Lox (+0.46); 2810417H13Rik (-0.40); Thbs1 (+0.38); Prss23 (+0.36)
47,Schiebinger,Pitx2,Gene,11.574,8.219,Hesx1 (+1.02); Nr2f1 (+0.92); Pparg (+0.90); Esrrb (+0.87); Batf3 (+0.87)
48,Schiebinger,Ascl2,Gene,10.919,11.704,Spic (+2.38); Dppa4 (+2.09); Shisa8 (+1.11); Pou3f1 (+0.93); Mycn (+0.60)
49,Schiebinger,Csrp2,Gene,10.818,1.403,Id3 (+0.47); Nmt1 (-0.38); Nupr1 (+0.37); Chchd10 (+0.37); Ube2s (+0.30)
50,Schiebinger,Gabarap,Gene,10.75,2.907,Ncam1 (+0.51); Xist (+0.47); Egr1 (+0.43); Lox (+0.36); AY036118 (+0.35)
51,Schiebinger,1110008F13Rik,Gene,10.683,2.975,Ncam1 (-0.53); Lox (-0.48); Prkcdbp (-0.42); S100a6 (-0.42); Tomm40 (-0.36)
52,Schiebinger,Ggh,Gene,10.501,3.214,Dmrtc2 (+0.82); Gata3 (-0.45); Batf3 (-0.42); Pparg (-0.42); Spic (-0.36)
53,Schiebinger,Mgp,Gene,10.349,1.115,Bgn (+1.08); Ncam1 (+0.91); Col1a2 (+0.82); Egr1 (+0.64); Lox (+0.64)
54,Schiebinger,Elf3,Gene,10.216,3.743,Hesx1 (+1.54); Esrrb (+0.85); Tcl1 (+0.76); Sox2 (+0.69); Zfp42 (+0.63)
55,Schiebinger,Nfic,Gene,10.056,2.235,Gm26917 (-0.49); AY036118 (-0.44); Xist (-0.41); S100a6 (-0.35); 1110008F13Rik (-0.32)
56,Schiebinger,Mrps24,Gene,10.035,1.449,Lox (-0.40); Cdkn2a (+0.39); Hist1h2ap (+0.38); Tnfrsf12a (-0.36); Ereg (-0.34)
57,Schiebinger,Snhg6,Gene,9.744,3.423,Cdkn2b (-0.54); Wnt7b (-0.43); Prr5 (+0.43); Cdkn2a (-0.37); AY036118 (-0.35)
58,Schiebinger,Bhlhe40,Gene,9.552,3.293,Mrps24 (-0.42); Col1a2 (-0.34); Tax1bp3 (-0.34); Gabarap (-0.33); Scand1 (-0.32)
59,Schiebinger,Ccl7,Gene,9.507,1.756,Rala (-0.35); Mybl2 (-0.32); Tomm40 (-0.32); Fabp3 (-0.29); Snhg9 (-0.29)
60,Schiebinger,Erdr1,Gene,9.469,1.707,Gm26917 (-0.35); Msx2 (-0.34); Gstp1 (-0.33); Gabarap (-0.32); Sdc4 (-0.27)
61,Schiebinger,Snhg9,Gene,9.415,2.706,Gm26917 (-1.55); AY036118 (-0.92); Xist (-0.72); Bgn (-0.56); Hes1 (-0.39)
62,Schiebinger,Ddit3,Gene,9.405,3.011,Dppa5a (+0.74); Snhg6 (+0.44); Id3 (-0.41); Hmgn5 (+0.40); Hesx1 (+0.39)
63,Schiebinger,Hspb1,Gene,9.198,1.919,Cdkn2a (-0.41); Scand1 (+0.40); Rala (+0.39); 1110008F13Rik (+0.35); Marcksl1 (+0.34)
64,Schiebinger,Klf2,Gene,9.131,1.658,Spic (+0.67); Dppa4 (+0.46); Nme2 (+0.37); Obox6 (+0.36); Bgn (+0.35)
65,Schiebinger,Nr2f1,Gene,9.103,3.476,Lncenc1 (+0.60); Esrrb (+0.57); Dppa5a (+0.54); Hesx1 (+0.52); Wnt7b (+0.47)
66,Schiebinger,Hes1,Gene,8.949,2.692,Col1a2 (+0.55); Dmrtc2 (-0.53); Lox (+0.37); Krt8 (-0.35); Ncam1 (+0.35)
67,Schiebinger,Gng12,Gene,8.821,1.436,Dppa5a (-0.90); Ncam1 (-0.54); 2810417H13Rik (+0.44); Sdc4 (-0.36); Mybl2 (+0.33)
68,Schiebinger,Msx2,Gene,8.702,2.287,Batf3 (+2.29); Pdgfb (+1.41); Wnt7b (+0.70); Gata3 (+0.66); Pparg (+0.43)
69,Schiebinger,Cldn7,Gene,8.432,5.14,Elf3 (+0.75); Fabp3 (+0.50); Cdkn2b (+0.42); Fos (+0.40); Wnt7b (+0.38)
70,Schiebinger,Ube2s,Gene,8.405,2.096,Gm26917 (+0.59); Cenpm (+0.57); Fam162a (+0.53); AY036118 (+0.42); Mybl2 (+0.40)
71,Schiebinger,Cenpm,Gene,8.386,2.019,Dmrtc2 (+1.02); Epcam (+0.48); Cldn7 (+0.37); Nr2f1 (-0.34); AY036118 (+0.31)
72,Schiebinger,Pparg,Gene,8.325,6.616,Wnt7b (+1.16); Batf3 (+0.63); Msx2 (+0.54); Pitx2 (+0.31); Nme2 (+0.28)
73,Schiebinger,Fam20c,Gene,8.321,2.663,Mybl2 (+0.65); 2810417H13Rik (+0.60); Ube2s (+0.43); Hist1h2ap (+0.40); Mgp (-0.38)
74,Schiebinger,Tax1bp3,Gene,8.249,1.024,Gm26917 (+0.42); Bhlhe40 (+0.37); Xist (+0.35); Mrps24 (+0.31); Wnt7b (+0.29)
75,Schiebinger,Fmr1nb,Gene,8.166,5.584,Tcl1 (+0.86); Sdc4 (+0.69); Dppa4 (+0.68); Zfp42 (+0.68); Wnt7b (-0.59)
76,Schiebinger,Bbx,Gene,8.11,1.631,Cldn7 (+0.40); Mybl2 (+0.30); Gabarap (-0.29); Col1a2 (-0.28); AY036118 (-0.25)
77,Schiebinger,Vcam1,Gene,8.045,2.148,Ereg (-1.29); 2810417H13Rik (+0.63); Hist1h2ap (+0.53); Ube2s (+0.50); Sdc4 (-0.37)
78,Schiebinger,Dynll2,Gene,7.917,1.855,Prss23 (-0.36); Tnfrsf12a (-0.33); Spic (+0.30); Hist1h2ap (+0.29); Mybl2 (+0.29)
79,Schiebinger,Ovol2,Gene,7.777,6.191,Ascl2 (+1.49); Shisa8 (+1.16); Mycn (+1.01); Pou3f1 (+0.95); Batf3 (+0.49)
80,Schiebinger,Hmgn5,Gene,7.672,2.312,Nme2 (-0.45); Gm26917 (-0.33); Vcam1 (-0.31); Hist1h2ap (-0.30); Nr2f1 (-0.22)
81,Schiebinger,Vbp1,Gene,7.321,2.79,Nme2 (-0.54); Gm26917 (-0.41); Gstp1 (-0.37); Myc (-0.34); Hist1h2ap (-0.32)
82,Schiebinger,Cited2,Gene,7.032,1.512,Pparg (+0.37); Nmt1 (-0.26); Gata2 (+0.26); Batf3 (+0.25); Wnt7b (+0.24)
83,Schiebinger,Obox6,Gene,7.032,4.117,Tcl1 (+1.62); Dppa4 (+1.18); Fmr1nb (+0.91); Zfp42 (+0.66); Spic (+0.48)
84,Schiebinger,Cyb5r3,Gene,7.003,2.605,Vcam1 (+0.26); Bhlhe40 (+0.26); Hmgn5 (+0.20); Col1a2 (+0.20); Cited2 (+0.18)
85,Schiebinger,Cdkn2b,Gene,6.821,1.465,Ube2s (-0.32); Wnt7b (+0.31); Marcksl1 (+0.29); Snhg9 (-0.28); Ypel3 (+0.27)
86,Schiebinger,Mybl2,Gene,6.816,1.278,Cldn7 (+0.36); Batf3 (-0.33); Epcam (+0.32); Col1a2 (-0.29); Cenpm (+0.24)
87,Schiebinger,Ypel3,Gene,6.59,0.768,Gstp1 (-0.44); Epcam (+0.40); AY036118 (-0.35); Krt8 (+0.30); Hist1h2ap (-0.30)
88,Schiebinger,Lncenc1,Gene,6.407,1.472,Hesx1 (+0.97); Esrrb (+0.96); Obox6 (+0.71); Spic (+0.43); Dppa5a (+0.31)
89,Schiebinger,Cdc5l,Gene,6.407,2.797,Ddit3 (+0.22); Mrps24 (+0.22); Zfp42 (+0.19); Pdgfb (-0.18); Tcl1 (+0.18)
90,Schiebinger,Tcl1,Gene,6.311,4.899,Obox6 (+1.50); Sox2 (+0.79); Fmr1nb (+0.76); Lncenc1 (+0.59); Zfp42 (+0.33)
91,Schiebinger,Klf4,Gene,5.847,1.108,Batf3 (-0.58); Wnt7b (-0.44); Krt8 (-0.36); Pdgfb (-0.26); Gata3 (-0.23)
92,Schiebinger,Vapa,Gene,5.839,1.577,Bhlhe40 (-0.26); Mrps24 (-0.19); Shisa8 (+0.19); Ncam1 (-0.18); Xist (-0.16)
93,Schiebinger,Spic,Gene,5.502,2.197,Dppa4 (+1.15); Ovol2 (+0.43); Ascl2 (+0.41); Mycn (+0.31); Batf3 (-0.28)
94,Schiebinger,Psme1,Gene,5.182,1.736,Tmem35 (+0.36); Cldn7 (+0.21); Chchd10 (-0.18); Scand1 (+0.17); Elf3 (+0.16)
95,Schiebinger,Gata2,Gene,5.177,1.987,Cited2 (-0.28); Spic (+0.27); Mylpf (-0.26); Wnt7b (-0.20); Epcam (-0.19)
96,Schiebinger,Blvrb,Gene,5.125,0.942,Fabp3 (+0.34); Hesx1 (+0.28); Batf3 (-0.28); Elf3 (+0.19); Pdgfb (-0.19)
97,Schiebinger,Shisa8,Gene,5.116,3.203,Ovol2 (+0.82); Spic (+0.81); Ascl2 (+0.34); Mycn (+0.26); Nr2f1 (+0.21)
98,Schiebinger,Prr5,Gene,4.978,2.657,Gm26917 (+0.26); Mycn (-0.20); Msx2 (+0.19); Shisa8 (+0.18); Fabp3 (-0.18)
99,Schiebinger,Dppa4,Gene,4.978,4.103,Obox6 (+0.76); Spic (+0.65); Tcl1 (+0.37); Zfp42 (+0.32); Prr5 (+0.26)
100,Schiebinger,Prkcdbp,Gene,4.924,0.378,Snhg6 (-0.43); Id3 (+0.40); AY036118 (-0.38); Nupr1 (+0.33); Scand1 (+0.29)
101,Schiebinger,Fos,Gene,4.864,1.452,Sri (-0.30); Ube2s (-0.29); Sdc4 (-0.21); Ctsl (-0.20); Tmem35 (+0.17)
102,Schiebinger,Pdgfb,Gene,4.349,3.386,Gata3 (+0.75); Msx2 (+0.72); Batf3 (+0.45); Pparg (+0.39); Ncam1 (-0.32)
103,Schiebinger,Wnt7b,Gene,4.277,2.077,Krt8 (-0.35); Ube2s (+0.34); Pparg (+0.32); Fos (-0.31); Ncam1 (-0.30)
104,Schiebinger,Esrrb,Gene,4.149,2.255,Hesx1 (+1.35); Lncenc1 (+0.93); Dppa5a (+0.43); Msx2 (-0.26); Hes1 (+0.14)
105,Schiebinger,Sox2,Gene,3.979,1.433,Gm26917 (+0.72); Krt8 (-0.44); Hes1 (+0.34); Batf3 (-0.30); Wnt7b (-0.26)
106,Schiebinger,Batf3,Gene,3.939,2.28,Msx2 (+0.52); Wnt7b (+0.47); Gata3 (+0.35); Pdgfb (+0.21); Egr1 (-0.17)
107,Schiebinger,Vps8,Gene,3.583,2.507,Id3 (+0.26); Ypel3 (-0.21); Klf4 (-0.18); Vcam1 (-0.15); Snhg6 (-0.15)
108,Schiebinger,Mycn,Gene,3.392,2.293,Spic (+0.43); Pou3f1 (+0.38); Ovol2 (+0.23); Ascl2 (+0.23); Zfp42 (+0.19)
109,Schiebinger,Gata3,Gene,3.346,1.791,Batf3 (+0.64); Pdgfb (+0.30); Pparg (+0.22); Cited2 (-0.20); Obox6 (+0.19)
110,Schiebinger,Hesx1,Gene,1.946,1.244,Esrrb (+0.70); Zfp42 (+0.12); Nupr1 (+0.11); Cdc5l (+0.11); Spic (+0.10)
