Rank,Dataset,Gene,Type,Outgoing_Strength,Outgoing_Strength_Std,Top5_Outgoing_Targets
33,Semrau,Sox17,Gene,0.06,0.118,Krt8 (-0.04); Gata6 (-0.01); Dnmt3b (+0.00); Klf4 (+0.00); Pax6 (-0.00)
34,Semrau,Pax6,Gene,0.033,0.055,Jarid2 (+0.03); Cdh2 (+0.00); Dnmt3a (-0.00); Pou5f1 (+0.00); Nes (+0.00)
35,Semrau,Pdgfra,Gene,0.017,0.017,Gata4 (+0.01); Klf4 (+0.00); Dnmt3b (+0.00); Sox1 (+0.00); Hoxb2 (+0.00)
36,Semrau,Gata4,Gene,0.007,0.002,Klf4 (+0.00); Pou5f1 (-0.00); Zic2 (-0.00); Dnmt3b (+0.00); Cdh2 (-0.00)
37,Semrau,Pou3f1,Gene,0.005,0.002,Hoxb2 (+0.00); Dab2 (+0.00); Meis1 (+0.00); Hoxa1 (+0.00); Dnmt3a (-0.00)
38,Semrau,Fgf5,Gene,0.002,0.0,Gata4 (+0.00); Pou5f1 (+0.00); Fst (+0.00); Esrrb (+0.00); Gata6 (+0.00)
39,Semrau,Cer1,Gene,0.001,0.001,Sox11 (-0.00); Lamb1 (+0.00); Gata6 (+0.00); Col4a2 (+0.00); Sparc (+0.00)
40,Semrau,Ascl1,Gene,0.001,0.0,Sox11 (-0.00); Sox1 (+0.00); Pou5f1 (+0.00); Dppa4 (-0.00); Jarid2 (-0.00)
41,Semrau,Sox9,Gene,0.001,0.001,Pou5f1 (+0.00); Sox11 (+0.00); Krt8 (+0.00); Klf2 (-0.00); Fst (+0.00)
42,Semrau,Wnt8a,Gene,0.001,0.001,Pou5f1 (-0.00); Sox11 (-0.00); Pou3f1 (+0.00); Cd24a (+0.00); Nes (+0.00)
1,Kameneva,RPL30,Gene,127.018,8.826,RPL10 (+5.38); RPL32 (+5.22); RPL34 (+4.93); RPS2 (+4.32); FAU (+4.19)
2,Kameneva,CHGA,Gene,108.514,15.115,CHGB (+7.39); RAMP1 (+6.98); PENK (+6.68); HAND2-AS1 (+5.52); SCG2 (+5.34)
3,Kameneva,MEG3,Gene,89.995,6.449,COL18A1 (+3.45); RPS2 (+3.30); RPL12 (+2.82); TIMP3 (+2.81); METRN (+2.60)
4,Kameneva,ATP5F1E,Gene,68.93,12.536,RPL32 (+7.72); RPS2 (+6.62); RPL34 (+6.28); RPS29 (+6.24); RPS4X (+5.85)
5,Kameneva,RA,Stimulus,52.512,1.253,OLFML2A (-3.09); S100B (-2.48); PLP1 (-2.41); ANXA2 (-2.39); VCAN (-2.35)
6,Kameneva,HAND2-AS1,Gene,52.435,7.682,STMN2 (+2.45); MAP1B (+2.16); CD24 (+2.14); RTN1 (+2.14); BASP1 (+2.12)
7,Kameneva,POSTN,Gene,50.401,7.985,RPL34 (-1.65); EIF4A2 (-1.51); RPL41 (-1.45); RPS13 (-1.37); RPL10 (-1.33)
8,Kameneva,ALDH1A1,Gene,48.818,7.361,FAU (-2.00); BTF3 (-1.27); GAPDH (-1.24); RPL10 (-1.22); HNRNPA1 (-1.21)
9,Kameneva,HTATSF1,Gene,37.623,7.016,RPS4X (+2.92); RPL41 (+2.26); RPS2 (+2.20); RPL12 (+2.17); RPL32 (+1.84)
