gene_id	symbol	mrna_half_life_h	prot_half_life_h	measurement_group
MGI:107422	Hspa4l	14.260000000000002	139.49	Hspa4l;Apg1;Hsp4l;Osp94
MGI:107427	Elavl4	8.26	187.6999999999999	Elavl2;RP23-52I15.1-007;RP23-52I15.1-003;RP23-52I15.1-011;RP23-52I15.1-008;Hub;RP23-52I15.1-004;RP23-52I15.1-001;RP23-52I15.1-005;Elavl4;Hud;RP23-283L16.1-006;RP23-283L16.1-002;RP23-283L16.1-005;RP23-283L16.1-003;RP23-283L16.1-007;RP23-283L16.1-001
MGI:107428	Cfap20	6.039999999999999	84.22999999999999	Gtl3
MGI:107438	Cab39	8.109999999999998	39.470000000000006	Cab39;Mo25
MGI:107440	Cep131	10.33	34.97999999999999	Azi1;RP23-37J21.1-001;RP23-37J21.1-006;Az1;Azi
MGI:107450	Dld	8.169999999999998	265.1699999999999	Dld
MGI:107451	Plcd3	5.19	64.77999999999999	Plcd3;Kiaa1964
MGI:107460	Cox6b1	15.170000000000002	90.92999999999999	Cox6b1;Cox6b
MGI:107470	Lyar	10.849999999999998	59.31000000000001	Lyar
MGI:107476	Stim1	17.44	43.510000000000005	Stim1;Sim
MGI:107494	Myl12b	12.639999999999999	55.05000000000002	Myl12b;Mrlc2;Mylc2b
MGI:107502	H1f3		73.13999999999997	Hist1h1d;H1f3
MGI:107532	Kpnb1	13.779999999999998	85.46000000000001	Kpnb1;Impnb
MGI:107549	Tbca	14.079999999999998	66.49000000000002	Tbca
MGI:107563	Nab2	4.01	17.630000000000003	Nab2
MGI:107564	Nab1	10.770000000000001	15.349999999999998	Nab1;mCG_123682
MGI:107565	Mela		128.45999999999998	Mela;gag-pol;1300007C21Rik
MGI:107566	Kifap3	19.240000000000002	22.33	Kifap3
MGI:107567	Irgm1	4.81	65.13999999999999	Irgm;Ifi1;Iigp3;Irgm1;RP23-14F5.1-003
MGI:107571	Cav2	9.959999999999999	212.59999999999994	Cav2
MGI:107573	Ott		36.92818842022988	OTTMUSG00000019145;RP23-327E13.2-001;OTTMUSG00000018984;RP23-291C10.1-001;Ott
MGI:107592	Hmgcs1		23.88	Hmgcs1
MGI:107622	Usp39	9.980000000000002	63.989999999999995	Usp39
MGI:107624	Mvk	14.399999999999999	471.6399999999999	Mvk
MGI:107629	Luzp1	4.82	38.39	Luzp1;Luzp
MGI:107633	Lxn	11.960000000000003	77.53000000000003	Lxn
MGI:107634	Larp7	10.41	84.37000000000003	Larp7;D3Wsu161e
MGI:107673	Akr1b8	10.07	144.02999999999994	Akr1b8;Fgfrp
MGI:107681	Rps29	11.620000000000001	147.03000000000006	Rps29
MGI:107682	Ppp1r14b	16.430000000000003	46.48	Ppp1r14b;Png
MGI:107685	Plxna1	11.49	6.61	Plxna1;Kiaa4053
MGI:107686	Coxfa4	17.7	11.620000000000001	Ndufa4
MGI:107688	Kif3b	10.23	67.12000000000003	Kif3b
MGI:107689	Kif3a	16.610000000000003	27.999999999999996	Kif3a;Kif3;RP23-188H3.1-001;mCG_13770
MGI:107701	Bckdha	16.719999999999995	58.13	Bckdha
MGI:107714	Dnah8		2.33	Dnahc8
MGI:107717	Myh9	15.689999999999996	59.76999999999998	Myh9
MGI:107726	Supt6	14.5	15.689999999999996	Supt6h;Kiaa0162
MGI:107733	Dctn2	11.620000000000001	56.100000000000016	Dctn2
MGI:107734	Ap3d1	13.939999999999998	94.26999999999998	Ap3d1;Ap3d
MGI:107735	Myo9a	6.700000000000001	54.25999999999999	Myo9a;Myr7
MGI:107736	Dync2h1		362.4699999999999	Dync2h1;Dhc1b;Dnchc2;Kiaa1997
MGI:107738	Dync1li2	7.37	58.75999999999998	Dync1li2;Dncli2;Dnclic2
MGI:107739	Casp3	6.2700000000000005	163.36999999999995	Casp3;Cpp32
MGI:107741	Pvr	4.63	61.860000000000014	Pvr;D7Ertd458e;Tage4
MGI:107745	Dctn1		68.92999999999999	Dctn1
MGI:107749	Tpd52	14.790000000000001	71.08000000000003	Tpd52
MGI:107750	Dync1i2	12.650000000000004	266.09999999999997	Dync1i2;RP23-299A2.1-007;RP23-299A2.1-009;RP23-299A2.1-002;mCG_19348;Dnci2;Dncic2;RP23-299A2.1-006
MGI:107752	Myo1b	13.489999999999998	50.4	Myo1b
MGI:107757	Gfer	7.56	162.25999999999996	Gfer;Alr;MNCb-0663
MGI:107760	Chka	4.999999999999999	18.820000000000004	Chka;Chk
MGI:107771	Abr	10.83	49.78	Abr
MGI:107777	Atp5pf	12.149999999999999	125.93000000000002	Atp5j
MGI:107788	Atp1b3	12.020000000000001	23.089999999999996	Atp1b3
MGI:107789	Aup1	10.060000000000002	37.11	Aup1
MGI:107795	Hnrnpc	18.57	136.4945478764628	Hnrnpc;Hnrpc
MGI:107796	Akr7a5	11.919999999999998	143.55	Akr7a5;RP23-247I1.5-001;Akr7a2;Afar
MGI:107801	Atp5f1b	18.499999999999996	239.91999999999993	Atp5b
MGI:107807	Uqcrq	16.69	30.470000000000006	Uqcrq
MGI:107809	Aamp	12.719999999999997	10.670000000000002	Aamp;mCG_114812
MGI:107810	Tfam	8.14	181.9799999999999	Tfam;Hmgts
MGI:107812	Tubb5	13.729999999999999	136.32999999999998	Tubb5
MGI:107813	Tubb3		179.23999999999998	Tubb3
