gene_id	symbol	mrna_half_life_h	n_mrna_cell_lines	prot_half_life_h	n_prot_cell_types	measurement_group
HGNC:10254	ROM1	3.9091240155449407	8.0			HGNC:10254
HGNC:10256	ROR1	1.6784822723310655	4.0			HGNC:10256
HGNC:10257	ROR2	1.352982055783171	6.0			HGNC:10257
HGNC:10258	RORA	0.7456252999038497	3.0			HGNC:10258
HGNC:10259	RORB	1.5584865071729739	1.0			HGNC:10259
HGNC:10260	RORC	1.4181847381120638	1.0			HGNC:10260
HGNC:10261	ROS1	8.134577445152985	1.0			HGNC:10261
HGNC:1027	BDH1	4.5373793576958885	7.0	252.05470488014865	3.0	HGNC:1027
HGNC:10274	RP2	1.516810706947307	9.0	130.6958470031082	4.0	HGNC:10274
HGNC:10288	RP9	0.9214450092346568	11.0			HGNC:10288
HGNC:10289	RPA1	6.5046411688315064	11.0	114.68170863495455	4.0	HGNC:10289
HGNC:1029	BDKRB1	0.5431117903310553	1.0			HGNC:1029
HGNC:10290	RPA2	2.698940356334754	11.0	120.34620448428483	3.0	HGNC:10290
HGNC:10291	RPA3	9.928939104886318	11.0	143.63920479788132	1.0	HGNC:10291
HGNC:10293	RPE	5.013667180224357	11.0	127.47753554537819	2.0	HGNC:10293
HGNC:10295	RPGR	3.7607029513499404	8.0			HGNC:10295
HGNC:10296	RPH3AL	2.6734719865971712	5.0			HGNC:10296
HGNC:10297	RPIA	4.107480991095577	11.0	163.0962647869852	3.0	HGNC:10297
HGNC:10298	RPL10	15.321077596589875	11.0	101.39726369517125	4.0	HGNC:10298
HGNC:10299	RPL10A	16.115335227681772	11.0	153.5270394958019	4.0	HGNC:10299
HGNC:103	CNNM2	1.6794849513522618	9.0			HGNC:103
HGNC:1030	BDKRB2	1.4294720718917688	1.0			HGNC:1030
HGNC:10301	RPL11	18.796146040765155	11.0	146.73778968836277	4.0	HGNC:10301
HGNC:10302	RPL12	15.739907372579244	11.0	163.67443072221258	4.0	HGNC:10302
HGNC:10303	RPL13	10.359330571620358	11.0	164.57859279354955	4.0	HGNC:10303
HGNC:10304	RPL13A	8.334389670832959	11.0	159.7618165569983	4.0	HGNC:10304
HGNC:10305	RPL14	8.2313183807702	11.0	146.36504086816987	4.0	HGNC:10305
HGNC:10306	RPL15	9.107187003671568	11.0	134.12743841378432	3.0	HGNC:10306
HGNC:10307	RPL17	11.420762399037486	9.0	160.78728689486968	4.0	HGNC:10307
HGNC:10310	RPL18	12.66386330980396	11.0	169.0395414493663	4.0	HGNC:10310
HGNC:10311	RPL18A	17.515935603620065	11.0	142.18480954967652	4.0	HGNC:10311
HGNC:10312	RPL19	10.965608580297783	11.0	117.50396008504364	4.0	HGNC:10312
HGNC:10313	RPL21	22.816637047173014	10.0	165.05303794681734	4.0	HGNC:10313
HGNC:10315	RPL22	11.83877828799653	11.0	178.0469216885599	4.0	HGNC:10315
HGNC:10316	RPL23	11.0903000301632	11.0	164.1487365146771	4.0	HGNC:10316
HGNC:10317	RPL23A	12.933346191022215	11.0	157.66694685355787	4.0	HGNC:10317
HGNC:10322	MRPL23	8.36048705498362	10.0			HGNC:10322
HGNC:10325	RPL24	10.540944646525432	11.0	128.7592352545127	4.0	HGNC:10325
HGNC:10327	RPL26	12.269484240918493	11.0	188.9217637681954	4.0	HGNC:10327
HGNC:10328	RPL27	14.931538445375011	11.0	184.09510782615087	4.0	HGNC:10328
HGNC:10329	RPL27A	11.528061280406689	11.0	169.62726720684034	4.0	HGNC:10329
HGNC:1033	BDNF	0.4789122847691096	6.0			HGNC:1033
HGNC:10330	RPL28	8.245470087620705	11.0	153.2359214404373	4.0	HGNC:10330
HGNC:10331	RPL29	9.146066736275959	11.0	145.1233370229653	4.0	HGNC:10331
HGNC:10332	RPL3	16.404794697761186	11.0	175.33528354333183	4.0	HGNC:10332
HGNC:10333	RPL30	19.04300380161674	11.0	125.28706727470403	3.0	HGNC:10333
HGNC:10334	RPL31	12.916078068526732	11.0	153.50393608208836	4.0	HGNC:10334
HGNC:10336	RPL32	14.904604431173368	11.0	155.5212153283138	3.0	HGNC:10336
HGNC:1034	BECN1	5.494754781609459	11.0	82.19485840117032	2.0	HGNC:1034
HGNC:10340	RPL34	9.604756871886746	11.0	152.41077630635908	4.0	HGNC:10340
HGNC:10344	RPL35	14.001992960902566	11.0	156.60152008396642	4.0	HGNC:10344
HGNC:10345	RPL35A	9.254195265341233	11.0	155.07285511307603	4.0	HGNC:10345
HGNC:10346	RPL36AL	3.425372721798289	11.0	150.9273009317307	4.0	HGNC:10346
HGNC:10347	RPL37	10.063197234192302	11.0	136.02454893019484	3.0	HGNC:10347
HGNC:10348	RPL37A	19.194542317882448	11.0	146.97789411890793	4.0	HGNC:10348
HGNC:10349	RPL38	10.247092645102482	11.0	157.05732380887707	4.0	HGNC:10349
HGNC:10350	RPL39	10.626984312746972	11.0			HGNC:10350
HGNC:10353	RPL4	14.511824977447711	11.0	156.57632139885305	4.0	HGNC:10353
HGNC:10354	RPL41	12.779622711743707	11.0			HGNC:10354
HGNC:10359	RPL36A	16.18658004804511	11.0	110.84774769623205	3.0	HGNC:10359
HGNC:1036	BEX1	6.910278843781591	6.0			HGNC:1036
HGNC:10360	RPL5	13.899201232931038	11.0	153.71807220281036	3.0	HGNC:10360
HGNC:10362	RPL6	9.91481264002225	11.0	157.92742733218796	4.0	HGNC:10362
HGNC:10363	RPL7	12.742643443033778	11.0	171.76775135629998	4.0	HGNC:10363
HGNC:10364	RPL7A	20.32521221607227	11.0	160.52720881482333	4.0	HGNC:10364
HGNC:10368	RPL8	14.697535664558501	11.0	158.42581409712187	4.0	HGNC:10368
HGNC:10369	RPL9	12.794771027652192	11.0	151.09147021390174	4.0	HGNC:10369
HGNC:1037	CFB	15.768618390607378	1.0			HGNC:1037
HGNC:10371	RPLP0	14.93200917115927	11.0	188.25657795404499	4.0	HGNC:10371
HGNC:10372	RPLP1	19.91869680064803	11.0	142.762349981247	1.0	HGNC:10372
HGNC:10377	RPLP2	21.66375284516609	11.0	145.49144948711273	4.0	HGNC:10377
HGNC:10378	MRPL12	4.48617747671346	11.0	202.33693176980123	4.0	HGNC:10378
HGNC:10379	MRPL3	8.014493991095826	11.0	159.47065081110995	2.0	HGNC:10379
