,score_Pluripotency,score_Post-implantation_Epiblast,score_Extraembryonic_Endoderm,score_Neuroectoderm,dominant_signature,leiden_sig,leiden_cell_type
0,5.017788743972778,-0.8516930937767029,-1.1355907917022705,-1.1355907917022705,Pluripotency,0,Pluripotency
1,0.311450719833374,1.453026008605957,0.7957927227020264,-2.5371762116750083,Post-implantation_Epiblast,2,Post-implantation Epiblast
2,4.5323655287424724,0.35731495618820186,-2.1552024682362876,-2.568904240926107,Pluripotency,0,Pluripotency
3,0.7319550355275473,-0.1661672592163086,-0.4431126912434895,0.0,Pluripotency,0,Pluripotency
4,2.82837028503418,-0.830836296081543,-0.30458072026570626,-1.1077817281087239,Pluripotency,0,Pluripotency
5,4.3840523560841875,-2.420788288116455,-0.399597422281901,-1.1143101851145427,Pluripotency,0,Pluripotency
6,2.7674318949381513,-0.29969806671142574,0.5993961334228516,-0.45408797986579663,Pluripotency,0,Pluripotency
7,3.633945655822754,0.0,-0.6314109802246094,0.0,Pluripotency,0,Pluripotency
8,3.124153550465901,-0.08272869586944576,-1.2436192035675049,-0.580327539732962,Pluripotency,0,Pluripotency
9,3.170710436503093,-0.942112147808075,-0.4292900403340657,-0.48782959128871106,Pluripotency,0,Pluripotency
10,3.6996018727620443,-1.620460867881775,-0.8977146943410238,-0.14886531685337878,Pluripotency,0,Pluripotency
11,3.8370142300923664,-1.1847898602485656,0.0,-1.02798597017924,Pluripotency,0,Pluripotency
12,2.0899747212727866,-0.30338555574417114,-1.2231980164845784,-0.503537149140329,Pluripotency,0,Pluripotency
13,3.827564398447673,-1.753559947013855,0.632176685333252,-0.5942964553833008,Pluripotency,0,Pluripotency
14,3.293559996287028,-0.972955048084259,0.1997987111409506,-0.9081759597315933,Pluripotency,0,Pluripotency
15,2.403164434432983,0.0,0.0,-1.2231980164845784,Pluripotency,0,Pluripotency
16,4.434884325663249,-0.5882549166679383,-1.4453496932983398,-1.0915307998657227,Pluripotency,0,Pluripotency
17,4.848072910308838,-1.1562527179718018,0.0,-1.0361010233561199,Pluripotency,0,Pluripotency
18,1.4129959742228189,-0.9081412553787231,0.6572681903839112,-0.4979304472605388,Pluripotency,0,Pluripotency
19,3.0722951889038086,0.0,0.0,0.0,Pluripotency,0,Pluripotency
20,2.6431676546732588,0.6959998130798339,0.6267799377441406,-1.2754451433817546,Pluripotency,0,Pluripotency
21,5.054905478159587,-2.4425268173217773,0.19723998705546053,-1.1014999548594158,Pluripotency,0,Pluripotency
22,3.092476511001587,0.0,0.0,0.5564996112476696,Pluripotency,0,Pluripotency
23,3.0446114540100098,0.7265130043029785,-2.5371762116750083,0.0,Pluripotency,0,Pluripotency
24,0.6466720581054686,-1.1386894702911377,0.7014015197753907,0.0,Extraembryonic_Endoderm,0,Pluripotency
25,3.5092591603597,-1.6669727563858032,0.0,-0.3530175613634513,Pluripotency,0,Pluripotency
26,1.6630447228749596,-0.7960159063339234,0.6378825664520263,0.0,Pluripotency,0,Pluripotency
27,3.146079190572103,0.0,-0.399597422281901,-0.9989935557047526,Pluripotency,0,Pluripotency
28,4.295933580398559,0.6813544750213623,-1.2510236899058025,-2.271181583404541,Pluripotency,0,Pluripotency
29,3.879810174306234,-0.9463222861289977,-0.991759443283081,-1.817084334113381,Pluripotency,0,Pluripotency
30,1.9008966763814288,-0.30996208190917973,0.0,-1.334450085957845,Pluripotency,0,Pluripotency
31,4.284310626983642,-0.927397608757019,-1.4195655186971028,-1.1211055119832356,Pluripotency,0,Pluripotency
32,5.422739839553833,-0.24161543846130362,-2.255082130432129,-1.0361010233561199,Pluripotency,0,Pluripotency
33,3.7711244583129884,-0.9081412553787231,0.0,-1.2108550071716309,Pluripotency,0,Pluripotency
34,3.724367046356201,-1.7899608612060547,-1.1355907917022705,-1.3665024439493816,Pluripotency,0,Pluripotency
35,0.3571272532145182,0.7419180870056152,-0.4946120580037434,-1.2365301450093586,Post-implantation_Epiblast,0,Pluripotency
36,2.9096304893493654,-0.3070754408836365,0.0,-2.05597194035848,Pluripotency,0,Pluripotency
37,3.1596774419148757,-1.0697547912597656,0.0,-1.188616434733073,Pluripotency,0,Pluripotency
38,1.5503245989481609,-0.06848459243774419,0.0,-1.188616434733073,Pluripotency,0,Pluripotency
39,1.42533810933431,-1.1342218518257141,0.6646690368652344,-1.2231980164845784,Pluripotency,0,Pluripotency
40,2.5142035484313965,0.48778417110443106,-0.4335859298706055,0.0,Pluripotency,0,Pluripotency
41,4.415312814712524,-1.8854531049728394,-1.1077817281087239,-1.2231980164845784,Pluripotency,0,Pluripotency
42,1.5166351477305093,0.6900635361671448,-1.2510236899058025,-1.1355907917022705,Pluripotency,0,Pluripotency
43,3.628163878122966,0.5910509943962097,-0.3331173102060955,-2.3576356569925943,Pluripotency,0,Pluripotency
44,2.5857338587443035,-0.15669498443603513,-0.417853291829427,-1.15999968846639,Pluripotency,0,Pluripotency
45,4.313058853149414,-0.8408291339874268,0.0,-1.3520046869913738,Pluripotency,0,Pluripotency
46,-0.014197921752929776,0.0,0.7014015197753907,0.6376377452503551,Extraembryonic_Endoderm,0,Pluripotency
47,1.6341838836669922,-0.9780557155609131,0.0,-0.7082522710164387,Pluripotency,0,Pluripotency
48,3.7506762027740477,0.0,0.0,-1.1077817281087239,Pluripotency,0,Pluripotency
49,1.4749366124471026,-0.96333909034729,-1.1690025329589844,0.7636032104492188,Pluripotency,2,Post-implantation Epiblast
50,0.9269115765889486,0.5433573484420777,-0.7044076601664224,-0.4789217313130696,Pluripotency,0,Pluripotency
51,2.3643237113952638,-0.1854795217514038,-1.3520046869913738,-1.3520046869913738,Pluripotency,2,Post-implantation Epiblast
52,2.4048602104187013,0.0,0.0,0.0,Pluripotency,3,Pluripotency
53,2.5157822926839195,-0.9780557155609131,-0.4754465738932292,0.0,Pluripotency,0,Pluripotency
54,2.3473337173461912,0.7824445724487304,0.0,-2.6081485748291016,Pluripotency,2,Post-implantation Epiblast
55,4.989057207107544,-1.7033861875534058,0.0,-1.1355907917022705,Pluripotency,0,Pluripotency
56,2.4335464954376222,0.0,0.7265130043029785,-2.4217681884765625,Pluripotency,0,Pluripotency
57,1.8026124318440753,-1.156348180770874,-0.4754465738932292,-1.188616434733073,Pluripotency,0,Pluripotency
58,3.1138911724090574,-0.994740903377533,0.0,-1.3263212045033772,Pluripotency,0,Pluripotency
59,3.6838388442993164,-1.0248768329620361,0.6813544750213623,0.0,Pluripotency,0,Pluripotency
60,3.982469669977824,-1.7631177306175232,1.1624277114868165,-2.1679296493530273,Pluripotency,0,Pluripotency
61,3.200843477249146,-0.9382677674293518,-1.1355907917022705,-0.5161776325919412,Pluripotency,0,Pluripotency
62,3.0357477188110353,-2.0411808490753174,0.0,0.0,Pluripotency,0,Pluripotency
63,1.0111067136128744,-1.5419789552688599,0.7552637100219727,-0.5872173309326172,Pluripotency,0,Pluripotency
64,2.450229263305664,-0.3075735449790955,1.3627089500427245,-1.1355907917022705,Pluripotency,0,Pluripotency
65,3.7018447399139403,-1.0897695064544677,0.0,-2.4217100143432617,Pluripotency,0,Pluripotency
66,0.4212652683258056,0.7265130043029785,-0.5998082002003987,-1.2108550071716309,Post-implantation_Epiblast,1,Extraembryonic Endoderm
67,1.5551136970520023,-0.5345089554786682,-0.3452255407969158,0.5651460127397017,Pluripotency,0,Pluripotency
68,-0.5523459911346436,0.43157567977905265,-0.4605836550394695,0.6280686205083673,Neuroectoderm,0,Pluripotency
69,3.655079793930054,-0.17033861875534062,-0.45423631668090825,-1.2510236899058025,Pluripotency,0,Pluripotency
70,0.22106504440307617,-1.0140035152435303,0.6503788948059082,-0.7235730272350889,Extraembryonic_Endoderm,0,Pluripotency
71,1.1477782726287842,0.7265130043029785,-1.2108550071716309,-1.3263212045033772,Pluripotency,0,Pluripotency
72,2.5568271001180016,-2.536632537841797,-0.41682273546854665,-0.021896499575990713,Pluripotency,0,Pluripotency
73,0.5536217212677004,0.0,0.7265130043029785,0.6604663675481622,Extraembryonic_Endoderm,0,Pluripotency
74,4.863466596603393,-0.9324909210205078,0.0,-1.218981107076009,Pluripotency,0,Pluripotency
75,1.8431455930074054,0.0,-1.188616434733073,-0.65573805028742,Pluripotency,0,Pluripotency
76,2.939669895172119,0.0,-0.33866093953450516,-1.1211055119832356,Pluripotency,0,Pluripotency
77,2.283305549621582,0.0,0.0,-0.5313647877086293,Pluripotency,0,Pluripotency
78,0.6452527840932212,-0.09691748619079588,0.6646690368652344,-1.2907394568125408,Extraembryonic_Endoderm,0,Pluripotency
79,5.86852765083313,0.30971614122390756,-3.314744790395101,-2.05597194035848,Pluripotency,0,Pluripotency
80,4.465265369415283,-1.8750917196273804,-0.5489856084187825,-1.1993645032246907,Pluripotency,0,Pluripotency
81,2.4190000534057616,0.0,0.0,-1.3823831876118977,Pluripotency,1,Extraembryonic Endoderm
82,3.109850597381592,-1.9869626760482788,0.0,0.0,Pluripotency,0,Pluripotency
83,1.7974754333496095,-0.8767518997192383,0.7014015197753907,0.0,Pluripotency,3,Pluripotency
84,5.5573594252268474,-1.659902811050415,-1.550780693689982,-2.0013956228892007,Pluripotency,0,Pluripotency
85,3.121013243993123,-0.9311713695526123,1.2433212280273438,-2.5338007609049478,Pluripotency,0,Pluripotency
86,2.3902485847473143,-0.9501752853393555,-1.2669003804524739,0.0,Pluripotency,1,Extraembryonic Endoderm
87,5.444159030914307,-1.6669727563858032,-1.2844521204630535,-0.4789217313130696,Pluripotency,0,Pluripotency
88,1.960008446375529,-1.031886100769043,0.6646690368652344,0.0,Pluripotency,0,Pluripotency
89,1.1770315011342367,1.342195224761963,-1.7338521480560303,-2.3309797445933023,Post-implantation_Epiblast,0,Pluripotency
90,4.612486028671265,-1.5925747156143188,-1.0954469839731853,-0.6454391985228568,Pluripotency,0,Pluripotency
91,4.2837823867797855,-0.34543774127960214,0.0,-2.302918275197347,Pluripotency,0,Pluripotency
92,0.08470438321431484,-0.8049188256263733,0.6439350605010986,1.1707910190929065,Neuroectoderm,0,Pluripotency
